Country,Year,GDP
United States,2025,28780000000000
China,2025,18530000000000
Germany,2025,4590000000000
Japan,2025,4110000000000
India,2025,3940000000000
United Kingdom,2025,3500000000000
France,2025,3130000000000
Brazil,2025,2330000000000
Italy,2025,2330000000000
Canada,2025,2240000000000
United States,2020,21060473613000
China,2020,14687743556970
Japan,2020,5048789595589
Germany,2020,3889668895300
United Kingdom,2020,2704609160088
India,2020,2671595389576
France,2020,2639008701648
Italy,2020,1897210466668
Canada,2020,1647598402303
Korea,2020,1644312785467
United States,2015,18206020741000
China,2015,11061573199440
Japan,2015,4444930651964
Germany,2015,3357585719352
United Kingdom,2015,2934857946213
France,2015,2439188643163
India,2015,2103588347242
Italy,2015,1836637711061
Brazil,2015,1802211999556
Canada,2015,1556508816217
United States,2010,15048964444000
China,2010,6087191720867
Japan,2010,5759071769013
Germany,2010,3399667820000
France,2010,2645187882117
United Kingdom,2010,2491397494468
Brazil,2010,2208838108593
Italy,2010,2136099955237
India,2010,1675615502766
Canada,2010,1617343367486
United States,2005,13039199193000
Japan,2005,4831466523976
Germany,2005,2846864211175
United Kingdom,2005,2544813166101
China,2005,2285961242870
France,2005,2196945232436
Italy,2005,1858217147204
Canada,2005,1173108598779
Spain,2005,1153715822718
Korea,2005,934901101762
United States,2000,10250947997000
Japan,2000,4968359152796
Germany,2000,1947981991012
United Kingdom,2000,1666048767080
France,2000,1365639660792
China,2000,1211331627479
Italy,2000,1146676894210
Canada,2000,744773415932
Mexico,2000,707909864022
Brazil,2000,655448188246

